1 2 3 4:8
6 9 14 15:5
1 9 11 13:5
2 10 12 13:4
2 9 11 14:4
2 9 10 15:4
2 10 11 13:4
9 10 14 16:3
2 9 12 14:3
1 2 9 10:6
2 3 10 11:6
2 7 9 10:6
7 9 10 14:5
2 9 10 14:4
9 10 14 15:3
3 10 11 14:5
1 10 11 13:3
1 5 11 13:6
1 5 10 13:6
1 9 10 15:4
1 7 9 10:6
1 9 11 14:4
1 7 9 15:6
1 6 9 11:6
1 6 9 10:7
1 9 11 16:4
1 8 9 11:6
1 9 12 15:4
1 9 12 16:5
1 8 9 16:7
1 8 9 12:7
1 7 9 12:6
1 4 9 12:6
1 9 10 16:4
1 8 9 10:5
1 9 12 14:4
3 4 11 12:6
4 9 12 15:4
4 7 9 12:5
4 9 10 11:2
9 10 15 16:2
4 9 10 16:3
8 9 10 15:4
3 10 11 16:4
3 8 10 11:6
3 7 9 10:4
4 8 9 10:4
7 9 10 16:4
7 8 9 10:6
2 9 10 16:4
3 9 10 12:2
2 8 9 10:6
4 10 12 15:4
4 7 10 12:6
4 11 12 14:4
4 6 12 14:6
4 7 12 15:7
4 11 12 15:5
3 9 11 14:4
9 11 14 16:2
8 9 11 14:4
9 12 14 15:2
4 9 11 16:4
9 12 15 16:3
8 9 15 16:5
7 9 11 14:5
3 7 9 15:6
6 8 9 14:7
8 9 12 14:5
8 9 14 16:5
7 9 12 14:4
7 9 15 16:5
7 8 9 15:7
9 12 14 16:3
4 9 12 14:4
3 11 12 14:4
3 9 12 15:3
3 9 11 15:5
9 11 15 16:3
8 9 11 15:5
8 9 10 14:5
2 6 9 10:5
6 9 10 15:5
3 6 10 11:7
6 7 9 10:7
2 6 9 11:5
1 6 9 12:6
4 7 11 12:7
3 7 9 11:6
4 8 9 11:5
7 9 11 16:5
7 8 9 11:7
3 7 9 12:4
4 6 11 12:6
6 9 11 15:5
3 6 9 11:6
6 9 11 16:4
6 8 9 11:6
6 9 12 15:4
6 9 12 16:5
6 8 9 16:7
6 7 9 11:7
7 8 9 12:6
7 8 9 16:6
6 7 9 15:7
6 7 9 12:6
6 9 10 16:5
2 6 9 12:4
4 6 9 12:6
3 6 11 12:5
6 8 9 10:7
6 8 9 12:7
3 5 11 13:6
2 8 10 16:6
3 9 11 16:4
2 9 11 12:2
3 8 9 11:6
2 10 11 16:4
2 8 10 11:6
2 10 12 15:4
2 7 10 15:7
2 7 10 12:6
2 10 11 15:5
2 7 10 11:7
4 8 9 16:6
7 9 12 16:5
4 9 12 16:5
3 11 12 16:5
8 9 12 15:5
4 8 9 12:6
3 8 11 12:7
4 5 12 13:7
5 9 13 16:6
5 8 9 13:8
4 9 12 13:5
1 9 12 13:4
4 11 12 13:4
4 10 12 13:4
9 11 13 16:3
8 9 11 13:5
9 12 13 15:3
8 9 12 13:6
8 9 13 16:6
7 9 12 13:5
9 12 13 16:4
3 11 12 13:4
1 11 12 13:3
1 5 12 13:5
6 10 13 14:6
10 11 13 14:3
7 10 14 15:6
10 11 14 15:4
9 10 13 16:3
8 9 10 13:5
9 12 13 14:3
1 10 12 13:4
10 11 13 15:3
4 10 11 16:3
10 11 13 16:2
8 10 11 13:4
10 12 13 15:2
7 10 13 15:5
5 10 13 15:5
3 8 11 16:7
7 10 11 13:5
4 8 10 16:6
8 10 12 13:5
7 10 12 16:5
8 10 13 16:5
7 10 15 16:5
7 10 12 13:4
5 8 10 13:6
7 8 10 16:7
10 12 15 16:3
4 10 12 16:5
3 10 12 15:4
10 12 13 16:3
10 11 15 16:3
5 7 10 13:7
8 10 15 16:5
11 12 13 16:3
11 12 13 14:2
5 11 13 14:5
8 11 13 16:5
11 12 14 16:3
8 11 14 16:5
6 11 13 14:5
7 11 14 15:6
3 7 10 15:5
6 12 13 14:5
5 12 13 14:5
8 12 13 16:6
7 12 15 16:6
7 12 13 15:5
7 12 14 15:5
7 8 10 15:7
6 7 14 15:8
7 8 15 16:8
5 6 13 14:8
5 8 13 16:8
11 12 15 16:4
10 12 13 14:3
11 12 13 15:3
11 12 14 15:3
3 10 11 15:4
8 10 11 15:5
8 11 15 16:6
5 10 13 14:6
2 6 10 14:6
6 10 11 13:5
6 10 14 16:6
3 6 11 14:7
5 6 10 13:7
6 7 10 14:8
6 10 14 15:6
2 6 11 14:6
2 6 12 14:6
6 9 12 13:5
5 11 13 16:5
5 8 11 13:7
5 12 13 15:5
5 7 12 13:7
5 12 13 16:6
5 8 12 13:8
7 11 13 15:6
4 8 11 16:5
8 11 12 13:5
7 11 12 16:6
7 11 15 16:6
7 11 12 13:5
7 8 11 16:8
3 7 12 15:6
6 11 14 16:5
6 11 12 16:5
6 11 12 13:4
6 8 11 14:7
6 8 11 16:7
6 12 14 15:5
5 6 11 13:7
6 7 11 14:7
5 10 13 16:5
5 6 12 13:7
7 8 12 16:8
6 7 12 15:6
6 7 12 14:7
6 8 12 16:8
6 11 12 15:5
6 10 12 13:5
6 11 14 15:6
6 8 10 14:8
2 11 12 14:3
10 11 14 16:3
8 10 11 14:5
10 12 14 15:3
8 12 14 16:6
7 10 12 14:5
7 10 11 14:6
4 11 12 16:4
8 12 15 16:6
4 8 12 16:6
3 11 12 15:5
2 10 12 14:5
2 10 11 14:5
1 5 9 10:6
2 5 9 10:7
5 9 10 14:6
5 9 10 15:5
3 5 10 11:6
5 7 9 10:7
5 9 11 14:5
5 6 9 10:7
5 6 9 11:7
5 6 9 14:8
1 5 9 11:6
2 5 10 12:6
2 5 10 11:5
1 5 10 11:4
4 5 9 12:7
1 5 9 12:5
4 5 11 12:6
4 5 10 12:6
5 9 11 16:5
5 8 9 11:7
5 9 12 15:5
5 9 12 16:6
5 8 9 16:7
5 7 9 12:7
3 5 11 12:6
5 8 9 12:7
1 5 11 12:4
4 8 10 11:4
8 10 12 15:5
7 8 10 12:7
4 8 10 12:6
3 7 10 12:5
8 11 12 14:5
7 8 12 15:7
8 11 12 15:6
7 11 12 14:5
6 8 11 12:7
5 7 12 15:7
5 7 11 12:7
7 8 11 12:7
6 7 10 12:7
2 6 11 12:4
4 8 11 12:5
6 7 11 12:6
3 7 11 12:6
5 6 10 14:8
5 10 11 14:5
5 7 10 15:7
5 10 11 15:5
5 9 10 16:5
5 8 9 10:6
5 9 12 14:5
1 5 10 12:5
5 10 11 16:4
5 8 10 11:6
5 10 12 15:4
5 10 12 16:5
5 8 10 16:7
5 7 10 11:7
5 7 10 12:6
5 8 10 12:7
7 8 10 11:7
5 11 12 14:4
5 6 11 14:6
5 11 12 16:5
5 8 11 16:7
5 7 11 15:8
5 6 12 14:7
5 10 12 14:5
5 11 12 15:5
7 8 11 15:8
2 6 10 11:6
3 7 10 11:5
7 10 11 16:5
6 10 11 15:6
6 10 11 16:5
6 8 10 11:7
6 10 12 15:5
6 7 10 11:7
6 7 10 15:8
2 6 10 12:6
5 6 10 11:6
5 6 9 12:7
5 8 11 12:7
5 8 12 16:8
6 7 11 15:8
5 6 11 12:6
5 6 10 12:7
1 10 11 12:2
3 7 11 15:6
5 9 10 13:6
9 10 11 13:2
3 9 10 11:3
7 9 10 15:4
9 10 11 15:2
6 9 10 14:5
5 9 11 13:6
6 9 11 14:5
6 9 12 14:4
2 9 10 12:3
9 10 11 14:3
2 9 10 11:4
9 10 12 14:2
1 9 10 11:3
1 9 11 12:3
1 9 10 12:4
4 9 11 12:4
4 9 10 12:3
4 10 11 12:3
9 10 11 16:1
8 9 10 11:3
9 10 12 15:1
9 10 12 16:2
8 9 10 16:4
3 10 11 12:4
7 9 10 11:4
8 9 10 12:4
7 9 10 12:3
3 9 11 12:3
9 11 12 14:1
9 11 12 16:3
8 9 11 16:5
7 9 11 15:6
7 9 12 15:4
9 11 12 15:2
6 9 10 11:5
8 9 11 12:5
7 9 11 12:4
6 9 11 12:3
6 9 10 12:4
2 10 11 12:3
8 9 12 16:6
5 9 12 13:5
9 11 12 13:2
9 10 12 13:3
10 11 12 16:2
10 11 12 13:1
5 10 11 13:4
8 10 11 16:4
5 10 12 13:5
8 10 12 16:6
7 10 12 15:5
10 11 12 15:3
7 10 11 15:5
6 10 11 14:6
6 10 12 14:6
5 11 12 13:4
8 11 12 16:5
7 11 12 15:6
6 11 12 14:4
10 11 12 14:2
5 9 10 11:4
5 9 11 12:4
8 10 11 12:4
7 10 11 12:5
6 10 11 12:4
5 9 10 12:5
5 10 11 12:3
9 10 11 12:0
